id,func,property_text,property_kind,info_source,reasoning,category,annotation_note,gt_snippet
P011,aws_linked_list_push_back,aws_linked_list_node_prev_is_valid(&_arg_),assertion,DOMAIN,STRUCTURAL,VALIDITY_PRED,Node-level validity: checks prev pointer not null and not circular,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_l"
P012,aws_linked_list_push_back,aws_linked_list_node_next_is_valid(&_arg_),assertion,DOMAIN,STRUCTURAL,VALIDITY_PRED,Node-level validity: checks next pointer not null and not circular,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_l"
P013,aws_linked_list_push_back,list.tail.prev == &to_add,assertion,CODE,STRUCTURAL,STRUCT_PTR,"After push_back, tail.prev must point to new node; requires reading impl","/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_l"
P014,aws_linked_list_push_back,to_add.prev == old_last,assertion,CODE,STRUCTURAL,STRUCT_PTR,New node's prev must point to previous last; requires impl trace,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/linked_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_linked_list_push_back_harness() {
    /* data structure */
    struct aws_linked_list list;
    struct aws_linked_list_node to_add;

    ensure_linked_list_is_allocated(&list, MAX_LINKED_LIST_ITEM_ALLOCATION);

    /* Keep the old last node of the linked list */
    struct aws_linked_list_node *old_last = list.tail.prev;

    /* perform operation under verification */
    aws_l"
P015,aws_add_size_saturating,r == uint64_max,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Saturation to UINT64_MAX on overflow; LLM uses SIZE_MAX instead of split testing,
P016,aws_add_size_saturating,r == a + b,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Success-path result for both u32 and u64 separately tested in GT,
P017,aws_add_size_saturating,r == uint32_max,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Same: u32 saturation case,
P018,aws_add_size_saturating,r == a + b,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Success-path result for both u32 and u64 separately tested in GT,
P019,aws_mul_size_checked,"__cprover_overflow_mult(a, b)",assertion,DOMAIN,STRUCTURAL,CBMC_BUILTIN,CBMC intrinsic for overflow detection; not derivable from C code or NL,
P020,aws_mul_size_checked,"__cprover_overflow_mult(a, b)",assertion,DOMAIN,STRUCTURAL,CBMC_BUILTIN,CBMC intrinsic for overflow detection; not derivable from C code or NL,
P021,aws_mul_size_saturating,r == uint64_max,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Multiplication saturation: u64 overflow → UINT64_MAX,
P022,aws_mul_size_saturating,r == a * b,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Success-path multiplication result for u32/u64,
P023,aws_mul_size_saturating,r == uint32_max,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Same: u32,
P024,aws_mul_size_saturating,r == a * b,assertion,CODE,CONDITIONAL,TYPE_VARIANT,Success-path multiplication result for u32/u64,
P025,aws_is_power_of_two,rval == (popcount == 1),assertion,CODE,DIRECT,RETVAL_SPEC,Return value defined in terms of popcount; requires understanding the algorithm,
P026,aws_round_up_to_power_of_two,popcount == 1,assertion,CODE,DIRECT,OVERFLOW_ARITH,Result must be a power of two (popcount 1),
P027,aws_round_up_to_power_of_two,test_val <= result,assertion,CODE,DIRECT,OVERFLOW_ARITH,Result >= input: basic rounding property,
P028,aws_round_up_to_power_of_two,test_val >= result >> 1,assertion,CODE,DIRECT,OVERFLOW_ARITH,Minimality: result is the smallest power of two >= input,
P029,aws_round_up_to_power_of_two,test_val > ((size_max >> 1) + 1),assertion,CODE,CONDITIONAL,OVERFLOW_ARITH,Overflow edge case: input too large to round up; conditional path in GT,
P030,aws_byte_buf_secure_zero,buf.len == 0,assertion,CODE,DIRECT,LEN_CHANGE,"secure_zero clears len; LLM focuses on content zeroing, misses len reset",
P031,aws_byte_buf_reset,buf.allocator == old.allocator,assertion,CODE,EXHAUSTIVE,FRAME_COND,Reset only zeroes len; allocator/buffer/capacity stay; LLM misses these,
P032,aws_byte_buf_reset,buf.buffer == old.buffer,assertion,CODE,EXHAUSTIVE,FRAME_COND,Same: buffer pointer unchanged by reset,
P033,aws_byte_buf_reset,buf.capacity == old.capacity,assertion,CODE,EXHAUSTIVE,FRAME_COND,Same: capacity unchanged by reset,
P034,aws_byte_buf_from_array,buf.len == length,assertion,NL,DIRECT,LEN_CHANGE,Documented: buf.len set to length parameter,
P035,aws_byte_buf_from_array,buf.capacity == length,assertion,CODE,DIRECT,LEN_CHANGE,Capacity = len for array-backed buffer; inferable from code,
P036,aws_byte_buf_from_empty_array,buf.capacity == capacity,assertion,CODE,DIRECT,LEN_CHANGE,Capacity set to capacity param; slightly redundant but GT asserts it,
P037,aws_byte_cursor_advance,rv.ptr == null,assertion,CODE,CONDITIONAL,LEN_INVARIANT,Failure path: returned cursor ptr is null; LLM misses failure case,
P038,aws_byte_cursor_advance,rv.len == 0,assertion,CODE,CONDITIONAL,LEN_INVARIANT,Failure path: returned cursor len is 0,
P039,aws_byte_cursor_advance,rv.ptr == old.ptr,assertion,CODE,CONDITIONAL,LEN_INVARIANT,Success path: returned cursor starts at original position,
P040,aws_byte_cursor_advance,rv.len == len,assertion,NL,DIRECT,LEN_CHANGE,Success: returned cursor length = requested len,
P041,aws_byte_cursor_advance,cursor.ptr == old.ptr + len,assertion,CODE,DIRECT,STRUCT_PTR,Cursor pointer advances by len; pointer arithmetic postcondition,
P042,aws_array_list_front,"aws_bytes_eq(val, list.data, list.item_size)",assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts list has data,
P043,aws_array_list_front,list.data,assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts list has data,
P044,aws_array_list_front,list.length,assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts list.length non-zero,
P045,aws_array_list_clear,list.alloc == old.alloc,assertion,CODE,EXHAUSTIVE,FRAME_COND,Clear only sets length to 0; allocator/size/data stay,
P046,aws_array_list_clear,list.current_size == old.current_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: current_size (allocated memory) unchanged,
P047,aws_array_list_clear,list.item_size == old.item_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: item_size unchanged,
P048,aws_array_list_clear,list.data == old.data,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: data pointer unchanged,
P049,aws_array_list_pop_back,list.length == old.length - 1,assertion,NL,DIRECT,LEN_CHANGE,Documented: pop_back decrements length by 1,
P050,aws_array_list_pop_back,list.data,assertion,CODE,DIRECT,LEN_INVARIANT,Data pointer still valid after pop,
P051,aws_array_list_pop_back,list.alloc == old.alloc,assertion,CODE,EXHAUSTIVE,FRAME_COND,Pop only decrements length; alloc/current_size/item_size stay,
P052,aws_array_list_pop_back,list.current_size == old.current_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: allocated storage unchanged,
P053,aws_array_list_pop_back,list.item_size == old.item_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: item_size unchanged,
P054,aws_array_list_push_back,list.length == old.length + 1,assertion,NL,DIRECT,LEN_CHANGE,Documented: push_back increments length by 1,
P055,aws_array_list_get_at,list.data,assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts list.data is valid after get_at,
P056,aws_array_list_get_at,list.length > index,assertion,CODE,DIRECT,LEN_INVARIANT,GT precondition: index in bounds,
P057,aws_linked_list_push_front,aws_linked_list_node_prev_is_valid(&_arg_),assertion,DOMAIN,STRUCTURAL,VALIDITY_PRED,Node-level validity: checks prev pointer not null and not circular,
P058,aws_linked_list_push_front,aws_linked_list_node_next_is_valid(&_arg_),assertion,DOMAIN,STRUCTURAL,VALIDITY_PRED,Node-level validity: checks next pointer not null and not circular,
P059,aws_linked_list_push_front,list.head.next == &to_add,assertion,CODE,STRUCTURAL,STRUCT_PTR,"After push_front, head.next must point to new node",
P060,aws_linked_list_push_front,to_add.next == old_first,assertion,CODE,STRUCTURAL,STRUCT_PTR,New node's next must point to previous first,
P061,aws_linked_list_pop_back,ret.next == null && ret.prev == null,assertion,CODE,STRUCTURAL,STRUCT_PTR,Detached node: pointers zeroed after removal,
P062,aws_linked_list_pop_back,list.tail.prev == old_prev_last,assertion,CODE,STRUCTURAL,STRUCT_PTR,New tail.prev after removal,
P063,aws_linked_list_pop_front,ret.next == null && ret.prev == null,assertion,CODE,STRUCTURAL,STRUCT_PTR,Detached node: pointers zeroed after removal,
P064,aws_linked_list_pop_front,list.head.next == old_next_first,assertion,CODE,STRUCTURAL,STRUCT_PTR,New head.next after removal,
P065,aws_linked_list_node_reset,aws_is_zeroed(node),assertion,DOMAIN,STRUCTURAL,ZERO_CHECK,GT checks node is zeroed; uses aws_is_zeroed predicate,
P066,aws_array_eq,lhs_len == rhs_len,assertion,CODE,CONDITIONAL,LEN_INVARIANT,GT asserts length equality condition in comparison logic,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_eq_harness() {
    /* assumptions */
    size_t lhs_len;
    __CPROVER_assume(lhs_len <= MAX_BUFFER_SIZE);
    void *lhs = malloc(lhs_len);

    void *rhs;
    size_t rhs_len;
    if (nondet_bool()) { /* rhs could be equal to lhs */
        rhs_len = lhs_len;
        rhs = lhs;
    } else {
        __CPROVER_assume(rhs_len <= MAX_BUFFER_SIZE);
        rhs = malloc(rhs_len);
"
P067,aws_array_eq_c_str,array_len == str_len,assertion,CODE,CONDITIONAL,LEN_INVARIANT,Same: length equality for array vs c_str comparison,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/byte_buf.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_eq_c_str_harness() {
    /* assumptions */
    void *array;
    size_t array_len;
    __CPROVER_assume(array_len <= MAX_BUFFER_SIZE);
    array = malloc(array_len);
    const char *c_str = ensure_c_str_is_allocated(MAX_BUFFER_SIZE);

    /* save current state of the parameters */
    struct store_byte_from_buffer old_byte_from_array;
    save_byte_from_array((uint8_t *)array"
P068,aws_array_list_clean_up,aws_is_zeroed(list),assertion,DOMAIN,STRUCTURAL,ZERO_CHECK,GT checks entire list is zeroed after clean_up; uses AWS proof-helper predicate,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 4s
 */
void aws_array_list_clean_up_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* perform operation under veri"
P069,aws_array_list_erase,list.length == old.length - 1,assertion,NL,DIRECT,LEN_CHANGE,Documented: erase decrements length,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure"
P070,aws_array_list_erase,list.item_size == old.item_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Erase shifts items but keeps item_size/alloc/current_size,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure"
P071,aws_array_list_erase,list.alloc == old.alloc,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: allocator unchanged,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure"
P072,aws_array_list_erase,list.current_size == old.current_size,assertion,CODE,EXHAUSTIVE,FRAME_COND,Frame: allocated bytes unchanged,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure"
P073,aws_array_list_erase,index < old.length,assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts precondition: index must be < length,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

void aws_array_list_erase_harness() {
    /* parameters */
    struct aws_array_list list;
    size_t index;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));

    /* save current state of the data structure"
P074,aws_array_list_get_at_ptr,list.data,assertion,CODE,DIRECT,LEN_INVARIANT,GT asserts list.data valid,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_get_at_ptr_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));
    void **val = malloc(sizeof(voi"
P075,aws_array_list_get_at_ptr,list.length > index,assertion,CODE,DIRECT,LEN_INVARIANT,GT precondition: index in bounds,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_get_at_ptr_harness() {
    /* data structure */
    struct aws_array_list list;

    /* assumptions */
    __CPROVER_assume(aws_array_list_is_bounded(&list, MAX_INITIAL_ITEM_ALLOCATION, MAX_ITEM_SIZE));
    ensure_array_list_has_allocated_data_member(&list);
    __CPROVER_assume(aws_array_list_is_valid(&list));
    void **val = malloc(sizeof(voi"
P076,aws_array_list_init_dynamic,list.alloc == allocator,assertion,NL,DIRECT,LEN_INVARIANT,Documented: allocator stored,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume"
P077,aws_array_list_init_dynamic,list.current_size == item_size * initial_item_allocation,assertion,CODE,DIRECT,LEN_INVARIANT,Allocated size = item_size * count; inferable from code,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume"
P078,aws_array_list_init_dynamic,aws_is_zeroed(list),assertion,DOMAIN,STRUCTURAL,ZERO_CHECK,"On init failure, list should be zeroed; GT checks this via aws_is_zeroed","/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 6s
 */
void aws_array_list_init_dynamic_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    struct aws_allocator *allocator = aws_default_allocator(); /* Precondition: allocator is non-null */
    size_t item_size;
    size_t initial_item_allocation;

    /* assumptions */
    __CPROVER_assume"
P079,aws_array_list_init_static,list.current_size == initial_item_allocation * item_size,assertion,CODE,DIRECT,LEN_INVARIANT,Static list: current_size = allocation*item_size,"/**
 * Copyright Amazon.com, Inc. or its affiliates. All Rights Reserved.
 * SPDX-License-Identifier: Apache-2.0.
 */

#include <aws/common/array_list.h>
#include <proof_helpers/make_common_data_structures.h>

/**
 * Runtime: 7s
 */
void aws_array_list_init_static_harness() {
    /* data structure */
    struct aws_array_list list; /* Precondition: list is non-null */

    /* parameters */
    size_t item_size;
    size_t initial_item_allocation;
    size_t len;

    /* assumptions */
    __CPROVER_assume(initial_item_allocation > 0 && initial_item_allocation <= MAX_INITIAL_ITEM_ALLOCATION);
 "
